"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3295","user registration test @master @sanity @regression","chromium","2026-05-10","passed","2026-05-10","","AccountRegistration.spec.ts","",""
"","1978","Login @sanity @regression @master","chromium","2026-05-10","passed","2026-05-10","","Login.spec.ts","",""
